name,url,total_fights,wins,losses,draw,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedown_attempted,sig_str_landed,sig_str_absorbed,takedown_avg,submission_avg,sig_str_def,takedown_def,knockdown_avg,avg_fight_time_seconds,str_standing,str_clinch,str_ground,str_head,str_body,str_leg,img
John Adajar,https://www.ufc.com/athlete/john-adajar,1,0,1,0,18.0,34.0,0.0,0.0,3.9,6.28,0.0,0.0,44.0,0.0,4.0,0.0,17.0,1.0,0.0,11.0,5.0,2.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-06/7ab235cd-13bf-4085-b532-1a8138a573ff%252FADAJAR_JOHN_L.png?itok=1xGnWLrR
Juan Adams,https://www.ufc.com/athlete/juan-adams,8,5,3,0,234.0,420.0,2.0,3.0,7.09,4.06,0.91,0.0,35.0,57.0,0.0,396.0,112.0,52.0,70.0,192.0,32.0,10.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69687/profile-galery/fullbodyleft-picture/ADAMS_JUAN_L.png?VersionId=a1XiJQRN_l1IA0G0dW5ccZhOzl6Gnxml&itok=Iqqe81nf
Anthony Adams,https://www.ufc.com/athlete/anthony-adams,10,8,2,0,95.0,227.0,0.0,7.0,3.17,5.93,0.0,0.0,44.0,0.0,15.0,0.0,84.0,11.0,0.0,37.0,29.0,29.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/ed39dee9-3044-4ad1-a217-4587a85234b6%252FADAMS_ANTHONY_L_CS.png?itok=M8e0aLgG
Scott Adams,https://www.ufc.com/athlete/tenk-ebbott,6,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Zarrukh Adashev,https://www.ufc.com/athlete/zarrukh-adashev,8,4,4,0,115.0,285.0,0.0,5.0,3.65,3.04,0.0,0.48,65.0,100.0,0.0,473.0,107.0,6.0,2.0,76.0,16.0,23.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-05/71630%252Fprofile-galery%252Ffullbodyleft-picture%252FADASHEV_ZARRUKH_L_05-08.png?itok=sHUsb4Yz
Israel Adesanya,https://www.ufc.com/athlete/israel-adesanya,29,24,5,0,1271.0,2639.0,0.0,9.0,4.02,3.2,0.05,0.14,56.0,77.0,0.62,1055.0,1170.0,64.0,37.0,623.0,266.0,382.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-01/ADESANYA_ISRAEL_L_02-01.png?itok=i_x2uO8m
Sam Adkins,https://www.ufc.com/athlete/sam-adkins,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nick Agallar,https://www.ufc.com/athlete/nick-agallar,15,12,3,0,5.0,43.0,0.0,2.0,0.69,4.56,0.0,0.0,42.0,0.0,7.0,0.0,4.0,1.0,0.0,2.0,0.0,3.0,
Mariya Agapova,https://www.ufc.com/athlete/mariya-agapova,15,10,5,0,241.0,441.0,2.0,3.0,4.43,3.62,0.55,0.83,52.0,45.0,0.55,467.0,163.0,38.0,40.0,153.0,67.0,21.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/8d8cdf5b-a8fc-4d06-8658-a1780c10f239%252FAGAPOVA_MARIYA_L_03-05.png?itok=ONWq065l
Fabio Agu,https://www.ufc.com/athlete/fabio-agu,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Marcello Aguiar,https://www.ufc.com/athlete/marcello-aguiar,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
