fighter_name,ko/tko_wins,submission_wins,decision_wins,win_streak,lose_streak,longest_win_streak,longest_lose_streak,title_fight_wins,reach_in,height_in,weight_in,dob_in,stance_Open,stance_Orthodox,stance_Sideways,stance_Southpaw,stance_Switch,fighter_name_norm,name,url,total_fights,wins,losses,draw,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedown_attempted,sig_str_landed,sig_str_absorbed,takedown_avg,submission_avg,sig_str_def,takedown_def,knockdown_avg,avg_fight_time_seconds,str_standing,str_clinch,str_ground,str_head,str_body,str_leg,img,name_norm
Dokonjonosuke Mishima,0,4,2,0,2,1,2,0,72.0,67.0,155.0,1972.0,False,False,False,True,False,dokonjonosuke mishima,Dokonjonosuke Mishima,https://www.ufc.com/athlete/dokonjonosuke-mishima,25,17,6,2,7.0,41.0,0.0,11.0,0.44,4.17,1.87,1.87,53.0,25.0,0.0,482.0,3.0,2.0,2.0,4.0,2.0,1.0,,dokonjonosuke mishima
Felix Lee Mitchell,1,1,1,0,3,0,3,0,72.0,70.0,161.0,1986.0,False,True,False,False,False,felix lee mitchell,Felix Lee Mitchell,https://www.ufc.com/athlete/dokonzhonosuke-mishima-0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,felix lee mitchell
Danny Mitchell,0,0,2,0,2,0,2,0,72.0,74.0,170.0,1986.0,False,True,False,False,False,danny mitchell,Danny Mitchell,https://www.ufc.com/athlete/danny-mitchell,21,14,6,1,76.0,154.0,0.0,9.0,2.53,2.53,0.0,3.0,53.0,100.0,0.0,900.0,54.0,15.0,7.0,36.0,18.0,22.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Danny_Mitchell/Danny_Mitchell_2014-03-05_024.png?VersionId=coSTfX8yezOD716C5MCEDc82omnAoJY8&itok=47kVdHRz,danny mitchell
Bryce Mitchell,2,3,6,1,0,6,1,0,70.0,70.0,135.0,1994.0,False,False,False,True,False,bryce mitchell,Bryce Mitchell,https://www.ufc.com/athlete/bryce-mitchell,22,18,4,0,315.0,530.0,3.0,83.0,2.27,1.6,3.24,1.19,59.0,33.0,0.11,695.0,176.0,24.0,115.0,183.0,90.0,42.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-07/MITCHELL_BRYCE_L_07-26.png?itok=8dEfaAGC,bryce mitchell
Maurice Mitchell,0,1,0,0,1,0,1,0,72.0,69.0,145.0,1987.0,False,True,False,False,False,maurice mitchell,Maurice Mitchell,https://www.ufc.com/athlete/maurice-mitchell,13,11,2,0,15.0,27.0,0.0,0.0,3.8,3.54,0.0,0.0,60.0,100.0,0.0,237.0,14.0,1.0,0.0,9.0,4.0,2.0,,maurice mitchell
Terrence Mitchell,2,0,0,0,2,0,2,0,74.0,70.0,135.0,1989.0,False,True,False,False,False,terrence mitchell,Terrence Mitchell,https://www.ufc.com/athlete/terrence-mitchell,19,15,4,0,9.0,26.0,1.0,2.0,2.21,8.85,3.69,0.0,42.0,0.0,2.0,0.0,6.0,2.0,1.0,8.0,1.0,0.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-09/MITCHELL_TERRENCE_L_09-16.png?itok=8eKCT7ad,terrence mitchell
Roman Mitichyan,1,1,0,0,1,1,1,0,72.0,70.0,170.0,1978.0,False,True,False,False,False,roman mitichyan,Roman Mitichyan,https://www.ufc.com/athlete/roman-mitichyan,11,9,2,0,2.0,12.0,0.0,1.0,0.26,2.7,1.93,1.93,43.0,25.0,0.0,234.0,2.0,0.0,0.0,0.0,0.0,2.0,,roman mitichyan
Matt Mitrione,10,2,2,0,2,5,2,0,82.0,75.0,265.0,1978.0,False,False,False,False,True,matt mitrione,Matt Mitrione,https://www.ufc.com/athlete/matt-mitrione,14,9,5,0,313.0,625.0,0.0,2.0,3.55,2.79,0.0,0.68,65.0,55.0,1.53,378.0,235.0,30.0,48.0,225.0,28.0,60.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/49706924-8265-4dbd-b2f6-93c48c01f5f1%252FMatt-Mitrione_1109_LeftFullBodyImage.png?itok=mKmYniFS,matt mitrione
Eiji Mitsuoka,2,1,1,0,2,1,2,0,72.0,67.0,145.0,1976.0,False,False,False,True,False,eiji mitsuoka,Eiji Mitsuoka,https://www.ufc.com/athlete/eiji-mitsuoka,29,18,9,2,68.0,138.0,0.0,19.0,1.49,2.26,2.3,1.64,46.0,20.0,0.33,547.0,42.0,3.0,23.0,61.0,3.0,4.0,,eiji mitsuoka
Patchy Mix,0,0,2,0,2,0,2,0,70.0,71.0,135.0,1993.0,False,False,False,True,False,patchy mix,Patchy Mix,https://www.ufc.com/athlete/patrick-mix,23,20,3,0,159.0,362.0,0.0,8.0,5.3,7.3,2.5,0.0,43.0,0.0,15.0,0.0,143.0,9.0,7.0,115.0,20.0,24.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-10/MIX_PATCHY_L_10-04.png?itok=NPsUOx9x,patchy mix
Takeya Mizugaki,4,2,13,0,2,5,2,0,69.0,67.0,135.0,1983.0,False,True,False,False,False,takeya mizugaki,Takeya Mizugaki,https://www.ufc.com/athlete/takeya-mizugaki,34,21,11,2,797.0,2143.0,0.0,40.0,3.37,3.27,1.46,0.06,58.0,70.0,0.19,747.0,515.0,162.0,120.0,553.0,180.0,64.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/22867f63-279d-4615-ad98-33e83960857a%252FTakeya-Mizugaki_1035_LeftFullBodyImage.png?itok=w2Jk6Rff,takeya mizugaki
Mizuki,0,0,4,2,0,2,1,0,65.0,63.0,115.0,1994.0,False,True,False,False,False,mizuki,Mizuki,https://www.ufc.com/athlete/mizuki-inoue,21,15,6,0,205.0,403.0,0.0,7.0,4.56,5.62,0.33,0.0,49.0,85.0,0.0,900.0,145.0,59.0,1.0,147.0,45.0,13.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-09/INOUE_MIZUKI_L_09-23.png?itok=-yhoZAS4,mizuki
Roxanne Modafferi,2,1,11,0,3,1,4,0,69.0,67.0,125.0,1982.0,False,True,False,False,False,roxanne modafferi,Roxanne Modafferi,https://www.ufc.com/athlete/roxanne-modafferi,46,25,21,0,668.0,2179.0,3.0,77.0,3.35,5.7,1.35,0.08,51.0,30.0,0.08,854.0,548.0,62.0,58.0,537.0,81.0,50.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-09/69156%252Fprofile-galery%252Ffullbodyleft-picture%252FMODAFFERI_ROXANNE_L_09-25.png?itok=YUvi5Lkw,roxanne modafferi
Bobby Moffett,0,1,2,0,2,1,2,0,73.0,70.0,145.0,1990.0,False,True,False,False,False,bobby moffett,Bobby Moffett,https://www.ufc.com/athlete/bobby-moffett,17,12,5,0,149.0,374.0,1.0,12.0,3.41,3.15,2.74,1.37,61.0,67.0,0.0,656.0,119.0,4.0,26.0,94.0,33.0,22.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67477/profile-galery/fullbodyleft-picture/MOFFETT_BOBBY_L.png?VersionId=StruM.JDt14QPAW4qmQryMwFU31Q9fOI&itok=dIJra7Qy,bobby moffett
Nate Mohr,1,2,1,0,2,1,2,0,72.0,69.0,155.0,1983.0,False,True,False,False,False,nate mohr,Nate Mohr,https://www.ufc.com/athlete/nate-mohr,14,8,6,0,126.0,301.0,0.0,2.0,3.79,2.5,0.45,0.0,75.0,71.0,0.0,499.0,110.0,9.0,7.0,83.0,15.0,28.0,,nate mohr
Renato Moicano,5,8,6,0,2,4,2,0,72.0,71.0,155.0,1989.0,False,True,False,False,False,renato moicano,Renato Moicano,https://www.ufc.com/athlete/renato-moicano,28,20,7,1,750.0,1531.0,6.0,48.0,4.17,3.57,1.67,0.5,60.0,63.0,0.17,568.0,616.0,24.0,110.0,547.0,71.0,132.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-01/12/MOICANO_RENATO_L_09-28.png?itok=K7p5hfNY,renato moicano
